x1,x2,x3,x4,x5,x6,x7,total,remarks
0,0,1,4,4,7,37,53,3
0,0,0,5,0,9,20,34,1
0,0,10,5,6,7,30,58,3
0,0,7,7,7,10,30,61,4
0,1,1,1,0,4,27,34,1
0,0,1,4,5,0,25,35,1
0,0,0,0,0,8,29,37,1
0,0,5,9,7,6,9,36,1
0,0,3,10,7,7,22,49,2
0,0,0,1,3,4,5,13,1
0,0,9,0,5,6,35,55,3
0,0,6,8,7,1,3,25,1
0,0,0,0,1,5,37,43,2
0,1,1,5,6,10,26,49,2
0,0,1,7,9,8,32,57,3
0,0,7,0,1,3,37,48,2
0,0,7,6,7,2,17,39,1
0,0,9,10,7,6,25,57,3
0,0,7,10,2,8,5,32,1
0,0,5,5,9,7,13,39,1
0,1,0,7,7,3,12,30,1
0,0,8,7,7,8,28,58,3
0,0,5,5,5,8,17,40,2
0,0,10,3,10,6,36,65,4
0,0,7,5,10,8,35,65,4
0,0,10,8,6,1,27,52,3
0,0,1,6,3,1,31,42,2
0,0,0,5,0,9,25,39,1
0,0,4,0,9,7,15,35,1
0,1,0,6,2,9,8,26,1
0,0,10,7,1,3,7,28,1
0,0,0,0,4,9,16,29,1
0,0,9,2,4,3,14,32,1
0,0,3,3,7,9,16,38,1
0,0,0,0,7,7,5,19,1
0,0,1,8,3,5,8,25,1
0,1,1,9,1,3,9,24,1
0,0,4,4,5,9,3,25,1
0,1,0,3,10,5,3,22,1
0,0,0,0,10,10,0,20,1
0,0,7,2,7,3,14,33,1
0,0,0,10,4,5,14,33,1
0,0,4,10,10,2,35,61,4
0,0,2,3,6,10,34,55,3
0,0,4,4,9,3,15,35,1
0,0,9,0,2,4,38,53,3
0,0,5,5,6,10,34,60,4
0,0,2,9,9,5,26,51,3
0,0,4,9,7,3,14,37,1
0,0,7,2,8,7,11,35,1
0,1,1,7,3,8,29,49,2
0,0,5,10,5,10,13,43,2
0,0,6,9,9,7,14,45,2
0,1,0,4,0,0,21,26,1
0,1,0,8,8,3,5,25,1
0,0,6,2,9,4,8,29,1
0,0,0,3,10,8,28,49,2
0,0,9,2,7,7,34,59,3
0,0,10,4,8,2,1,25,1
0,1,2,3,1,2,30,39,1
0,1,0,2,1,8,38,50,3
0,0,1,8,7,2,16,34,1
0,0,3,4,3,2,26,38,1
0,0,9,0,8,9,26,52,3
0,0,4,0,1,6,5,16,1
0,0,4,3,5,0,30,42,2
0,0,4,6,5,6,14,35,1
0,0,0,1,4,8,23,36,1
0,0,0,10,8,0,5,23,1
0,0,3,7,9,4,16,39,1
0,0,2,1,2,1,7,13,1
0,0,2,7,4,9,29,51,3
0,0,8,3,4,8,13,36,1
0,0,0,9,10,8,13,40,2
0,0,3,0,6,6,7,22,1
0,0,8,3,1,1,20,33,1
0,0,4,8,10,8,34,64,4
0,0,3,4,0,9,28,44,2
0,1,0,6,2,10,25,44,2
0,0,0,10,8,7,38,63,4
0,0,4,3,9,0,31,47,2
0,0,3,8,10,2,24,47,2
0,0,6,3,10,10,11,40,2
0,0,6,8,3,3,11,31,1
0,0,1,8,3,9,19,40,2
0,0,2,2,2,10,19,35,1
0,0,8,1,6,6,18,39,1
0,0,3,4,3,10,30,50,3
0,0,3,3,3,1,14,24,1
0,0,0,3,2,0,30,35,1
0,0,10,4,1,2,19,36,1
0,0,7,9,3,3,0,22,1
0,0,8,0,6,0,6,20,1
0,0,0,1,3,5,8,17,1
0,1,0,6,1,5,28,41,2
0,0,3,10,6,0,4,23,1
0,0,5,6,2,5,36,54,3
0,0,0,2,2,0,10,14,1
0,0,2,5,6,2,7,22,1
0,0,0,3,6,9,14,32,1
0,0,10,7,0,10,26,53,3
0,0,6,0,4,7,35,52,3
0,0,5,4,7,9,37,62,4
0,0,7,4,2,5,37,55,3
0,0,3,7,6,3,2,21,1
0,0,0,7,6,3,24,40,2
0,0,3,4,5,6,28,46,2
0,0,9,6,10,0,31,56,3
0,1,1,0,10,4,34,50,3
0,0,10,10,2,4,33,59,3
0,0,3,9,9,0,27,48,2
0,1,1,7,1,6,23,39,1
0,0,3,9,6,10,20,48,2
0,0,2,8,1,1,20,32,1
0,0,10,7,7,0,36,60,4
0,1,0,5,5,2,10,23,1
0,1,1,3,1,5,8,19,1
0,0,9,4,10,0,36,59,3
0,0,7,8,10,5,39,69,4
0,0,5,5,9,3,32,54,3
0,0,4,5,2,3,25,39,1
0,0,10,9,3,6,13,41,2
0,0,0,3,0,7,17,27,1
0,0,8,1,3,2,7,21,1
0,1,0,7,1,1,10,20,1
0,1,2,1,3,0,1,8,1
0,0,4,0,1,9,33,47,2
0,0,1,6,9,3,34,53,3
0,0,5,1,3,5,17,31,1
0,0,0,4,7,7,16,34,1
0,0,6,1,0,7,15,29,1
0,1,0,2,8,4,16,31,1
0,0,9,3,4,6,4,26,1
0,0,3,2,6,6,12,29,1
0,0,0,9,1,9,24,43,2
0,0,0,0,5,9,4,18,1
0,0,4,10,5,8,30,57,3
0,0,7,0,1,10,15,33,1
0,0,7,3,0,8,25,43,2
0,0,0,4,3,1,22,30,1
0,1,1,4,8,0,6,20,1
0,0,5,5,6,6,10,32,1
0,0,6,2,1,2,30,41,2
0,0,10,0,3,3,35,51,3
0,0,3,7,2,2,8,22,1
0,0,7,1,8,8,19,43,2
0,0,9,8,10,8,21,56,3
0,0,8,2,9,7,26,52,3
0,0,1,4,8,6,29,48,2
0,0,10,0,9,1,0,20,1
0,0,1,6,0,10,3,20,1
0,0,4,9,2,0,38,53,3
0,0,10,3,5,5,37,60,4
0,0,3,5,10,6,18,42,2
0,0,7,5,8,7,39,66,4
0,0,8,6,9,3,27,53,3
0,0,3,9,5,7,5,29,1
0,0,1,2,9,5,7,24,1
0,0,4,4,7,5,13,33,1
0,0,8,2,5,2,32,49,2
0,0,0,6,9,6,31,52,3
0,0,9,3,8,5,20,45,2
0,0,6,0,9,3,15,33,1
0,1,2,0,10,2,27,42,2
0,0,0,6,9,8,5,28,1
0,1,1,1,8,10,40,61,4
0,1,1,4,2,10,13,31,1
0,1,1,8,4,1,25,40,2
0,0,1,3,5,9,3,21,1
0,0,0,7,1,5,27,40,2
0,0,3,9,5,0,34,51,3
0,1,1,9,9,4,9,33,1
0,0,8,8,2,6,28,52,3
0,0,9,1,8,9,22,49,2
0,0,1,2,9,7,23,42,2
0,0,2,4,5,6,19,36,1
0,0,5,8,3,3,19,38,1
0,0,9,6,9,6,11,41,2
0,0,8,0,6,1,21,36,1
0,0,6,2,9,1,30,48,2
0,0,10,3,1,7,16,37,1
0,0,3,7,9,3,22,44,2
0,0,3,0,5,2,24,34,1
0,0,9,7,8,4,12,40,2
0,0,1,4,6,8,29,48,2
0,1,0,0,7,5,36,49,2
0,0,0,9,0,5,31,45,2
0,0,5,1,3,3,20,32,1
0,0,4,3,8,6,38,59,3
0,0,10,6,1,10,2,29,1
0,0,6,9,10,8,36,69,4
0,0,0,9,3,4,40,56,3
0,1,0,3,8,9,21,42,2
0,0,4,6,5,4,7,26,1
0,1,0,7,8,6,26,48,2
0,1,0,3,4,3,24,35,1
0,0,8,7,5,0,11,31,1
0,0,8,0,0,1,35,44,2
0,0,2,6,10,9,31,58,3
0,1,1,3,0,8,20,33,1
0,0,8,0,9,6,10,33,1
0,0,0,4,0,9,0,13,1
0,1,1,2,7,10,7,28,1
0,0,4,5,3,7,37,56,3
0,1,2,2,10,1,36,52,3
0,0,3,9,10,0,2,24,1
0,0,8,1,4,3,25,41,2
0,0,8,0,5,5,15,33,1
0,0,1,4,1,1,28,35,1
0,0,8,8,0,1,28,45,2
0,0,3,5,0,1,8,17,1
0,1,0,7,2,3,3,16,1
0,0,9,10,5,10,7,41,2
0,0,7,9,10,1,32,59,3
0,0,0,5,7,8,16,36,1
0,0,6,1,1,1,8,17,1
0,0,9,7,5,9,0,30,1
0,0,4,2,8,0,32,46,2
0,0,5,0,9,0,2,16,1
0,0,0,10,3,3,30,46,2
0,0,10,7,6,0,40,63,4
0,1,0,8,9,3,16,37,1
0,0,6,4,2,10,31,53,3
0,0,6,8,1,5,36,56,3
0,0,10,6,9,6,2,33,1
0,0,6,10,8,0,21,45,2
0,0,3,4,8,6,7,28,1
0,0,5,1,5,1,34,46,2
0,0,3,6,7,6,35,57,3
0,0,7,6,5,6,40,64,4
0,0,7,0,2,3,28,40,2
0,0,0,10,0,4,30,44,2
0,0,3,10,9,2,29,53,3
0,0,2,2,7,4,0,15,1
0,0,10,9,10,4,7,40,2
0,0,3,8,2,0,31,44,2
0,1,1,10,4,5,7,28,1
0,0,3,8,1,9,4,25,1
0,1,1,1,0,5,10,18,1
0,0,9,5,2,1,3,20,1
0,0,9,4,2,7,27,49,2
0,0,7,0,5,1,8,21,1
0,0,1,0,10,4,35,50,3
0,0,9,9,4,3,1,26,1
0,0,4,8,0,3,37,52,3
0,0,7,8,7,10,28,60,4
0,0,3,7,0,5,18,33,1
0,1,1,1,1,8,2,14,1
0,0,2,7,1,1,16,27,1
0,0,9,8,8,8,16,49,2
0,0,6,9,2,8,7,32,1
0,0,0,3,9,7,33,52,3
0,0,3,4,10,0,34,51,3
0,0,6,9,6,3,24,48,2
0,1,0,7,4,1,11,24,1
0,0,7,9,9,1,9,35,1
0,0,7,2,1,10,6,26,1
0,0,7,9,10,8,25,59,3
0,0,0,9,2,6,19,36,1
0,0,7,1,7,2,3,20,1
0,0,2,6,8,4,8,28,1
0,1,2,1,1,7,38,50,3
0,0,4,1,3,2,29,39,1
0,0,7,3,5,1,19,35,1
0,0,2,10,4,9,29,54,3
0,0,4,0,6,6,14,30,1
0,0,3,3,0,8,18,32,1
0,0,3,8,8,4,0,23,1
0,0,6,9,5,0,7,27,1
0,0,4,10,0,10,16,40,2
0,0,5,0,0,1,10,16,1
0,0,9,10,5,0,31,55,3
0,1,0,5,3,5,33,47,2
0,0,0,10,5,10,19,44,2
0,0,6,10,8,5,26,55,3
0,0,10,9,0,2,27,48,2
0,0,9,8,5,10,19,51,3
0,0,0,1,8,9,5,23,1
0,0,8,7,8,9,33,65,4
0,0,7,8,9,7,14,45,2
10,10,4,3,8,9,13,57,3
0,1,1,3,0,7,26,38,1
0,0,0,1,2,0,20,23,1
0,0,10,3,3,5,7,28,1
0,1,1,10,5,8,24,49,2
0,0,9,9,9,7,4,38,1
0,0,9,10,0,3,12,34,1
0,1,0,10,8,1,38,58,3
0,0,9,1,9,7,29,55,3
0,0,7,5,1,2,16,31,1
0,0,0,9,10,3,9,31,1
0,0,7,9,6,9,33,64,4
0,1,1,2,3,4,7,18,1
0,0,10,4,10,4,40,68,4
0,1,0,10,10,8,9,38,1
0,0,3,9,8,1,32,53,3
0,0,9,7,4,1,1,22,1
0,1,0,3,6,5,22,37,1
0,0,3,6,4,7,13,33,1
0,0,2,7,1,6,28,44,2
0,0,0,10,6,9,28,53,3
0,0,2,5,6,8,20,41,2
0,0,4,6,9,9,5,33,1
0,0,7,7,10,3,16,43,2
0,0,2,2,7,1,33,45,2
0,0,10,9,8,9,29,65,4
0,0,8,5,9,7,14,43,2
0,1,0,8,6,6,38,59,3
0,0,10,1,3,4,12,30,1
0,0,3,0,10,10,32,55,3
0,1,0,8,3,10,0,22,1
0,0,4,4,2,8,21,39,1
0,0,3,3,9,4,5,24,1
0,0,9,9,7,7,31,63,4
0,0,6,7,9,9,16,47,2
0,1,0,8,0,8,40,57,3
0,1,1,0,0,1,10,13,1
0,0,10,0,10,9,3,32,1
10,10,4,3,9,0,27,63,4
0,1,1,1,4,7,0,14,1
0,0,8,1,10,4,6,29,1
0,0,6,8,0,3,38,55,3
0,0,0,9,1,0,26,36,1
0,0,6,1,6,8,13,34,1
0,1,2,2,9,2,0,16,1
0,1,1,3,10,9,36,60,4
0,0,4,3,2,9,15,33,1
0,0,6,9,5,0,13,33,1
0,0,0,0,7,4,1,12,1
0,0,8,8,4,5,37,62,4
0,0,10,7,3,7,9,36,1
0,0,1,3,8,2,3,17,1
0,1,1,2,0,0,8,12,1
0,1,2,2,5,4,25,39,1
0,0,10,2,0,9,6,27,1
0,0,3,8,3,6,10,30,1
0,0,1,3,5,1,26,36,1
0,0,4,3,8,1,33,49,2
0,0,3,1,0,0,32,36,1
0,0,5,8,3,4,15,35,1
0,0,7,4,3,5,32,51,3
0,0,8,7,4,1,39,59,3
0,0,7,0,5,3,1,16,1
0,0,1,2,6,10,9,28,1
0,0,4,10,7,1,16,38,1
0,1,0,10,0,6,34,51,3
0,0,3,1,6,10,39,59,3
0,0,3,9,5,1,15,33,1
0,1,0,10,6,5,6,28,1
0,0,3,5,2,1,17,28,1
0,0,0,2,0,9,5,16,1
0,0,10,0,6,5,3,24,1
0,0,9,2,4,7,21,43,2
0,1,0,2,5,7,12,27,1
0,0,4,0,2,4,35,45,2
0,0,5,5,0,5,7,22,1
0,0,1,6,2,6,11,26,1
0,0,3,6,4,7,8,28,1
0,0,7,3,7,0,16,33,1
0,0,10,4,6,0,9,29,1
0,0,6,9,0,5,2,22,1
0,0,6,6,1,4,32,49,2
0,1,2,0,8,9,19,39,1
0,0,4,2,10,4,18,38,1
0,0,4,2,3,1,30,40,2
0,1,0,1,2,4,5,13,1
0,1,0,1,9,7,36,54,3
0,0,9,4,8,1,26,48,2
0,0,0,6,5,1,30,42,2
0,0,10,9,10,10,23,62,4
0,0,10,1,3,5,28,47,2
0,1,1,10,2,2,26,42,2
0,1,0,7,6,7,9,30,1
0,0,4,9,5,10,10,38,1
0,0,6,4,2,1,1,14,1
0,0,7,1,3,8,36,55,3
0,0,5,5,1,7,26,44,2
0,0,0,7,5,7,22,41,2
0,0,8,1,5,7,5,26,1
0,0,10,2,3,5,13,33,1
0,0,1,2,6,1,4,14,1
0,0,7,3,9,1,39,59,3
0,0,3,4,8,5,2,22,1
0,0,7,2,10,1,22,42,2
0,0,0,9,10,0,24,43,2
0,0,5,0,0,4,32,41,2
0,1,0,6,2,6,8,23,1
0,0,0,4,6,7,31,48,2
0,0,1,4,9,2,5,21,1
0,0,3,8,7,1,13,32,1
0,0,8,8,4,10,12,42,2
0,0,1,7,5,4,1,18,1
0,0,6,3,0,1,38,48,2
0,0,3,7,8,9,0,27,1
0,1,1,8,2,3,6,21,1
0,0,0,7,0,10,39,56,3
0,0,10,0,8,9,34,61,4
0,0,6,0,3,8,0,17,1
0,0,3,4,3,0,7,17,1
0,0,1,3,2,1,9,16,1
0,0,9,10,8,4,32,63,4
0,0,8,3,5,9,21,46,2
0,0,6,5,1,3,16,31,1
0,0,0,10,4,10,11,35,1
0,0,10,8,10,3,16,47,2
0,0,2,9,9,6,18,44,2
0,0,4,2,9,8,16,39,1
0,0,4,5,8,4,39,60,4
0,0,3,10,6,4,2,25,1
0,0,8,2,6,4,21,41,2
0,0,10,4,2,10,30,56,3
0,0,8,6,8,6,17,45,2
0,0,7,5,2,4,13,31,1
0,0,7,4,4,7,40,62,4
0,1,1,2,7,6,1,18,1
0,0,7,1,7,4,24,43,2
0,0,4,6,4,1,0,15,1
0,0,1,9,2,0,21,33,1
0,0,9,7,9,1,31,57,3
0,0,3,2,4,8,26,43,2
0,0,10,8,4,8,28,58,3
0,1,1,3,10,7,14,36,1
0,1,1,10,4,10,11,37,1
0,0,1,10,4,5,16,36,1
0,0,6,8,9,5,29,57,3
0,0,4,4,6,5,12,31,1
0,0,5,2,4,2,22,35,1
0,1,0,8,8,4,40,61,4
0,1,2,0,1,9,11,24,1
0,1,1,2,9,5,30,48,2
0,1,1,2,10,5,12,31,1
0,1,1,3,5,4,10,24,1
0,0,0,10,5,7,28,50,3
0,0,7,8,9,3,16,43,2
0,0,2,4,6,4,27,43,2
0,0,6,10,4,6,4,30,1
0,0,2,2,5,9,2,20,1
0,0,0,5,4,0,32,41,2
0,0,1,10,10,9,14,44,2
0,0,9,8,4,3,3,27,1
0,0,10,10,7,7,10,44,2
0,0,8,5,10,5,39,67,4
0,0,5,2,4,1,11,23,1
0,0,8,1,7,1,12,29,1
0,1,2,0,10,0,30,43,2
0,1,0,8,0,2,26,37,1
0,0,7,10,3,0,29,49,2
0,0,9,7,3,8,28,55,3
0,0,9,0,0,3,17,29,1
0,0,8,8,4,1,38,59,3
0,0,5,2,9,9,8,33,1
0,0,2,4,4,3,6,19,1
0,0,1,2,3,0,20,26,1
0,0,2,5,5,7,18,37,1
0,0,8,9,6,6,8,37,1
0,0,3,5,8,8,36,60,4
0,0,9,1,7,6,21,44,2
0,0,7,0,0,9,6,22,1
0,0,10,9,4,0,30,53,3
0,0,8,9,5,3,32,57,3
0,0,2,3,7,5,32,49,2
0,0,9,7,0,0,35,51,3
0,0,10,1,9,0,15,35,1
0,0,10,5,9,5,26,55,3
0,0,4,4,6,2,9,25,1
0,0,10,6,7,1,11,35,1
0,0,10,2,6,0,36,54,3
0,1,0,8,1,2,36,48,2
0,0,7,0,2,9,37,55,3
0,0,6,0,4,9,26,45,2
0,0,7,2,2,10,40,61,4
0,0,5,3,2,8,13,31,1
0,0,9,5,6,9,15,44,2
0,0,2,10,2,5,29,48,2
0,0,7,7,1,2,8,25,1
0,0,5,4,4,10,7,30,1
0,0,7,6,3,5,37,58,3
0,0,6,8,1,9,21,45,2
0,0,3,0,8,6,36,53,3
0,0,1,1,10,10,17,39,1
0,0,4,2,1,8,19,34,1
0,1,0,3,4,9,24,41,2
0,0,8,10,7,4,36,65,4
0,0,4,1,7,8,14,34,1
0,0,6,1,2,1,31,41,2
0,0,10,9,6,0,20,45,2
0,0,10,3,3,9,0,25,1
0,0,7,1,0,2,6,16,1
0,1,1,0,4,1,32,39,1
0,0,0,0,3,3,17,23,1
0,0,2,7,9,7,34,59,3
0,0,7,3,7,6,1,24,1
0,0,9,7,3,10,17,46,2
0,0,4,2,0,0,21,27,1
0,1,0,10,0,3,24,38,1
0,0,5,1,8,5,38,57,3
0,1,0,4,0,1,16,22,1
0,0,5,7,4,6,9,31,1
0,0,8,7,3,2,15,35,1
0,0,7,1,10,10,11,39,1
0,0,5,8,4,9,36,62,4
0,0,10,10,9,7,19,55,3
0,0,6,9,7,4,30,56,3
0,0,8,1,9,4,23,45,2
0,0,9,1,1,9,7,27,1
0,0,7,3,9,5,6,30,1
0,0,8,7,0,0,20,35,1
0,0,0,1,2,10,32,45,2
0,0,5,5,0,2,23,35,1
0,0,4,5,7,8,11,35,1
0,0,5,0,2,0,27,34,1
0,0,6,7,8,2,24,47,2
0,0,9,4,1,0,16,30,1
0,1,1,9,3,8,2,24,1
0,0,4,7,10,8,36,65,4
0,0,3,5,1,3,2,14,1
0,0,2,2,10,3,4,21,1
0,0,1,3,7,4,24,39,1
0,0,10,4,4,4,1,23,1
0,0,0,6,2,2,0,10,1
0,0,0,3,8,10,20,41,2
0,0,5,7,10,10,19,51,3
0,0,10,4,5,1,12,32,1
0,0,8,0,7,7,10,32,1
0,0,3,4,1,1,4,13,1
0,0,4,3,0,0,16,23,1
0,0,1,3,0,10,36,50,3
0,0,0,6,10,8,7,31,1
0,0,4,7,8,1,16,36,1
0,1,1,10,9,3,10,34,1
0,0,2,2,2,10,32,48,2
0,0,2,2,1,0,0,5,1
0,0,5,2,10,8,11,36,1
0,0,0,1,8,7,11,27,1
0,0,10,5,2,4,33,54,3
0,0,7,3,2,0,35,47,2
0,0,2,2,3,7,36,50,3
0,0,8,7,2,6,23,46,2
0,1,0,6,9,5,5,26,1
0,0,4,4,9,0,17,34,1
0,0,7,5,4,4,29,49,2
0,0,10,5,5,6,9,35,1
0,0,3,6,10,1,27,47,2
0,0,0,3,4,8,3,18,1
0,0,7,0,4,9,10,30,1
0,1,0,4,7,7,0,19,1
0,0,6,4,10,8,14,42,2
0,0,8,8,7,2,4,29,1
0,0,8,4,2,5,20,39,1
0,0,5,4,0,5,0,14,1
0,0,8,7,0,0,22,37,1
0,0,2,3,3,10,17,35,1
0,0,4,5,7,10,22,48,2
0,0,1,8,2,9,34,54,3
0,1,0,5,3,3,36,48,2
0,0,3,2,7,0,32,44,2
0,1,1,3,5,6,10,26,1
0,0,2,10,9,10,1,32,1
0,0,10,6,3,9,26,54,3
0,0,9,9,9,1,1,29,1
0,0,8,1,0,6,32,47,2
0,1,1,7,9,10,26,54,3
0,0,0,5,7,9,11,32,1
0,0,8,10,2,2,25,47,2
0,0,3,8,10,6,32,59,3
0,1,0,10,3,5,4,23,1
0,0,9,0,10,3,2,24,1
0,0,8,10,10,10,8,46,2
0,0,7,10,5,3,31,56,3
0,0,8,10,4,4,37,63,4
0,0,4,6,8,8,11,37,1
0,0,0,0,1,7,12,20,1
0,1,0,6,4,4,0,15,1
0,0,7,9,2,8,37,63,4
0,0,9,1,1,6,7,24,1
0,0,1,6,6,3,31,47,2
0,0,5,5,5,9,24,48,2
0,0,1,3,7,1,9,21,1
0,0,5,5,10,1,20,41,2
0,0,5,7,1,5,24,42,2
0,0,5,1,5,4,3,18,1
0,1,1,8,5,6,4,25,1
0,0,1,6,6,0,9,22,1
0,0,4,5,4,4,2,19,1
0,0,10,3,2,5,18,38,1
0,0,6,3,6,8,0,23,1
0,0,3,8,6,9,30,56,3
0,0,1,8,10,9,35,63,4
0,0,2,1,5,7,5,20,1
0,0,6,6,8,1,40,61,4
0,0,0,4,1,9,4,18,1
0,0,4,3,0,5,30,42,2
0,0,3,6,5,2,10,26,1
0,1,2,1,5,8,26,43,2
0,0,6,1,7,10,10,34,1
0,1,0,6,1,2,33,43,2
0,1,0,5,8,0,21,35,1
0,0,4,4,2,2,14,26,1
0,0,9,4,4,0,18,35,1
0,0,8,5,10,4,30,57,3
0,0,1,2,5,1,37,46,2
0,0,6,7,1,8,20,42,2
0,0,8,6,9,9,4,36,1
0,0,8,3,5,8,16,40,2
0,0,10,4,4,6,34,58,3
0,0,6,5,1,9,20,41,2
0,1,1,6,3,0,16,27,1
0,0,0,5,7,1,27,40,2
0,0,4,0,1,7,4,16,1
0,0,3,9,8,1,25,46,2
0,0,7,6,1,1,2,17,1
0,0,9,2,8,9,18,46,2
0,0,3,5,7,0,25,40,2
0,0,9,3,0,4,38,54,3
0,0,9,9,3,2,19,42,2
0,0,5,9,2,6,38,60,4
0,1,1,10,4,8,29,53,3
0,0,5,0,5,0,28,38,1
0,0,10,2,3,9,37,61,4
0,1,0,0,1,9,34,45,2
0,0,2,1,1,9,12,25,1
0,0,5,9,2,0,27,43,2
0,0,5,10,9,9,10,43,2
0,0,0,0,5,3,15,23,1
0,0,5,2,4,1,36,48,2
0,1,1,1,2,7,22,34,1
0,0,8,4,10,2,36,60,4
0,0,5,0,0,6,20,31,1
0,0,3,6,9,4,10,32,1
0,0,2,1,2,0,29,34,1
0,0,4,9,2,7,26,48,2
0,0,6,0,8,3,34,51,3
0,0,4,10,10,7,9,40,2
0,0,1,4,6,8,2,21,1
0,0,1,2,9,5,15,32,1
0,0,2,8,2,5,1,18,1
0,1,1,8,8,9,6,33,1
0,0,0,1,3,9,26,39,1
0,0,0,9,1,0,40,50,3
0,0,0,2,4,5,15,26,1
0,0,0,1,4,0,19,24,1
0,0,8,7,6,2,21,44,2
0,0,6,8,4,1,40,59,3
0,0,10,4,8,6,1,29,1
0,1,1,0,8,2,0,12,1
0,0,0,3,2,0,31,36,1
0,0,9,1,8,3,34,55,3
0,0,8,9,8,4,20,49,2
0,1,1,8,3,1,7,21,1
0,0,0,4,6,10,40,60,4
0,0,10,5,7,10,3,35,1
0,0,4,10,3,9,14,40,2
0,0,3,4,5,10,40,62,4
0,0,8,8,0,7,2,25,1
0,0,4,6,10,7,22,49,2
0,0,9,2,3,4,40,58,3
0,0,9,6,10,10,17,52,3
0,0,5,2,6,6,27,46,2
0,0,6,2,0,0,14,22,1
0,0,7,6,2,3,9,27,1
0,0,6,8,7,3,34,58,3
0,1,1,4,8,7,31,52,3
0,0,0,6,1,2,36,45,2
0,1,1,4,4,6,26,42,2
0,0,4,1,4,1,26,36,1
0,0,8,10,10,4,1,33,1
0,0,5,2,4,7,14,32,1
0,1,0,2,0,4,36,43,2
0,1,0,4,8,1,17,31,1
0,1,0,4,10,2,30,47,2
0,0,9,2,10,10,23,54,3
0,0,4,10,8,9,5,36,1
